subcarrier index,red,blue,yellow,green
1,12.94,8.72,20.1,11.00
2,13.26,8.94,22.14,11.36
3,13.59,9.11,22.59,11.65
4,13.48,10.3,24.63,11.55
5,15.52,12.3,25.35,13.30
6,17.49,12.06,26.87,14.99
7,19.11,11.59,27.11,16.38
8,18.98,10.48,29.21,16.27
9,20.56,9.97,30.1,17.48
10,22.3,9.1,30.54,19.11
11,23.63,9.14,32.51,20.25
12,24.79,9.17,33.21,21.25
13,27.6,9.64,33.96,23.65
14,28.95,9.75,34.56,24.81
15,27.43,9.86,34.2,23.51
16,28.09,10.27,32.54,24.07
17,28.96,10.58,31.6,24.82
18,29.93,10.62,31.14,25.65
19,26.34,10.05,30.99,22.57
20,24.54,9.9,30.25,21.03
21,25.6,9.85,30.96,21.94
22,23.87,10.56,28.43,20.46
23,22.45,11.94,27.96,19.24
24,21.75,12.35,27.35,18.64
25,19.65,13.27,26.57,16.84
26,18.63,12.85,24.12,15.97
27,16.33,12.94,23.99,13.99
28,15.78,10.82,23.54,13.52
29,15.22,10.42,22.18,13.04
30,14.67,9.63,21.4,12.47
1,8.12,9.86,10.20,24.45
2,8.66,12.06,13.48,27.23
3,9.02,14.34,16.83,29.66
4,9.50,16.67,20.02,32.12
5,9.96,18.80,23.4,34.55
6,11.70,19.33,25.92,33.21
7,13.23,20.90,27.44,32.60
8,15.11,22.45,29.23,31.25
9,16.68,23.67,31.65,30.13
10,17.34,24.35,33.20,29.07
11,18.21,25.72,34.45,28.40
12,18.98,27.40,35.67,27.86
13,19.40,28.92,36.86,27.21
14,19.82,30.34,38.23,26.84
15,20.44,32.00,39.77,26.43
16,19.26,31.46,38.51,25.73
17,18.04,30.85,37.36,24.46
18,17.37,30.26,36.11,23.55
19,16.48,29.87,34.67,22.47
20,15.33,29.40,33.20,21.76
21,15.98,28.88,30.87,20.36  
22,15.96,28.25,28.34,19.25
23,18.45,27.76,26.51,18.73
24,19.89,27.15,24.67,20.43
25,21.47,26.88,22.01,21.24
26,22.34,25.27,19.06,20.86
27,21.63,23.88,16.57,20.18
28,20.29,22.05,13.29,19.64
29,19.47,20.41,10.77,19.06
30,s18.79,18.66,8.50,18.55
